Age,Weight,Duration,Calories
68,94.0,29.0,231.0
20,60.0,14.0,66.0
69,79.0,5.0,26.0
34,71.0,13.0,71.0
27,58.0,10.0,35.0
36,50.0,23.0,123.0
33,56.0,22.0,112.0
41,85.0,25.0,143.0
60,94.0,21.0,134.0
26,51.0,16.0,72.0
36,76.0,1.0,3.0
21,56.0,17.0,92.0
66,79.0,11.0,58.0
32,54.0,18.0,88.0
53,85.0,2.0,7.0
39,62.0,28.0,170.0
39,82.0,4.0,11.0
46,67.0,11.0,43.0
27,65.0,4.0,15.0
50,86.0,14.0,74.0
67,93.0,8.0,29.0
31,50.0,8.0,32.0
33,60.0,3.0,10.0
20,59.0,29.0,155.0
48,85.0,1.0,3.0
29,75.0,10.0,24.0
33,73.0,7.0,12.0
42,88.0,3.0,10.0
62,59.0,29.0,195.0
38,75.0,2.0,5.0
20,88.0,16.0,69.0
25,59.0,24.0,136.0
24,59.0,18.0,80.0
42,68.0,22.0,107.0
22,84.0,29.0,200.0
74,59.0,10.0,56.0
70,59.0,10.0,50.0
26,80.0,21.0,100.0
44,86.0,25.0,200.0
61,86.0,1.0,4.0
68,57.0,13.0,70.0
61,70.0,20.0,127.0
63,80.0,25.0,197.0
54,66.0,20.0,113.0
54,66.0,3.0,11.0
47,55.0,16.0,82.0
33,86.0,8.0,26.0
24,66.0,24.0,141.0
24,98.0,20.0,92.0
48,59.0,2.0,5.0
35,93.0,10.0,30.0
21,71.0,3.0,3.0
21,73.0,9.0,37.0
22,62.0,25.0,147.0
69,69.0,2.0,8.0
53,101.0,21.0,159.0
68,58.0,15.0,93.0
69,65.0,23.0,173.0
28,101.0,19.0,89.0
70,89.0,7.0,31.0
36,64.0,9.0,35.0
77,80.0,16.0,94.0
32,63.0,9.0,49.0
62,77.0,13.0,54.0
64,56.0,20.0,117.0
45,79.0,27.0,173.0
45,61.0,20.0,99.0
22,71.0,10.0,45.0
45,69.0,22.0,166.0
66,69.0,28.0,202.0
31,83.0,20.0,107.0
57,68.0,29.0,199.0
53,93.0,5.0,25.0
22,67.0,8.0,23.0
67,92.0,24.0,200.0
27,64.0,2.0,6.0
57,83.0,2.0,7.0
49,68.0,20.0,113.0
39,63.0,29.0,188.0
47,72.0,20.0,103.0
62,101.0,17.0,128.0
41,89.0,23.0,130.0
34,50.0,7.0,27.0
40,62.0,27.0,185.0
55,57.0,11.0,57.0
44,88.0,13.0,65.0
45,60.0,16.0,91.0
49,64.0,19.0,120.0
46,68.0,12.0,70.0
25,100.0,9.0,39.0
68,80.0,22.0,136.0
25,64.0,14.0,77.0
31,67.0,9.0,42.0
57,91.0,7.0,41.0
27,59.0,14.0,59.0
40,98.0,24.0,179.0
57,74.0,2.0,6.0
23,62.0,5.0,13.0
23,87.0,23.0,147.0
43,88.0,26.0,180.0
74,107.0,14.0,101.0
45,53.0,23.0,150.0
31,60.0,25.0,179.0
21,93.0,6.0,23.0
50,96.0,3.0,10.0
39,74.0,9.0,39.0
57,81.0,30.0,247.0
26,53.0,19.0,89.0
34,83.0,25.0,141.0
55,62.0,4.0,18.0
52,67.0,15.0,70.0
21,90.0,29.0,185.0
20,45.0,11.0,54.0
79,60.0,29.0,207.0
21,91.0,27.0,189.0
50,74.0,2.0,6.0
29,76.0,12.0,60.0
22,92.0,6.0,23.0
28,60.0,27.0,186.0
38,93.0,28.0,178.0
23,73.0,25.0,122.0
68,68.0,24.0,166.0
79,86.0,20.0,158.0
35,70.0,2.0,7.0
67,96.0,18.0,143.0
21,52.0,12.0,43.0
44,49.0,17.0,86.0
43,72.0,23.0,128.0
21,79.0,29.0,182.0
32,70.0,10.0,52.0
79,91.0,27.0,236.0
51,96.0,19.0,114.0
60,67.0,11.0,64.0
49,86.0,26.0,171.0
46,84.0,6.0,19.0
35,54.0,21.0,144.0
31,76.0,9.0,37.0
42,78.0,26.0,185.0
66,69.0,13.0,60.0
52,90.0,22.0,127.0
59,73.0,23.0,149.0
23,71.0,16.0,78.0
49,63.0,5.0,24.0
25,57.0,23.0,143.0
20,84.0,27.0,143.0
28,66.0,15.0,71.0
